@relation MLFeatures.txt

@attribute att1 {s.ONp1021,s.ONp1022,s.ONp1031,s.ONp1032,s.ONp1041,s.ONp1042,s.ONp1051,s.ONp1052,s.ONp1061,s.ONp1062,s.ONp1071,s.ONp1072,s.ONp1081,s.ONp1082,b.ONp1021,b.ONp1022,b.ONp1031,b.ONp1032,b.ONp1041,b.ONp1042,b.ONp1051,b.ONp1052,b.ONp1061,b.ONp1062,b.ONp1071,b.ONp1072,b.ONp1081,b.ONp1082,b-avg-40.ONp5021,b-avg-40.ONp5022,b-avg-40.ONp5031,b-avg-40.ONp5032,b-avg-40.ONp5041,b-avg-40.ONp5042,b-avg-40.ONp5051,b-avg-40.ONp5052,b-avg-40.ONp5061,b-avg-40.ONp5062,b-avg-40.ONp5071,b-avg-40.ONp5072,b-avg-40.ONp5081,b-avg-40.ONp5082,s-avg-40.ONp5021,s-avg-40.ONp5022,s-avg-40.ONp5031,s-avg-40.ONp5032,s-avg-40.ONp5041,s-avg-40.ONp5042,s-avg-40.ONp5051,s-avg-40.ONp5052,s-avg-40.ONp5061,s-avg-40.ONp5062,s-avg-40.ONp5071,s-avg-40.ONp5072,s-avg-40.ONp5081,s-avg-40.ONp5082}
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 {LABELS}
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric

@data
b.ONp1052,5000,50646,20.2584,5000,0,4241,15493,3.0986,0.8482,3.870469,0.000052,0.109336,0.177894,LABELS,0.04901,0.28927,0.012386,0.350666,0.748231,0.839861,0.752853,2.340946,0
b.ONp1061,5000,51256,20.5024,5000,0,4225,14923,2.9846,0.845,3.842645,0.000052,0.104246,0.17563,LABELS,0.025856,0.196621,0.010753,0.233231,0.698102,0.803331,0.699461,2.200894,0
b.ONp1062,5000,49498,19.7992,5000,0,4118,14649,2.9298,0.8236,3.897723,0.000052,0.109152,0.175057,LABELS,0.031189,0.28554,0.002565,0.319295,0.705299,0.79929,0.704381,2.20897,0
b.ONp1071,5000,50418,20.1672,5000,0,4141,15054,3.0108,0.8282,3.873146,0.000052,0.107921,0.174536,LABELS,0.040054,0.202473,0.003171,0.245699,0.66349,0.747624,0.668834,2.079947,0
b.ONp1072,5000,50678,20.2712,5000,0,4278,15752,3.1504,0.8556,3.855683,0.000052,0.111095,0.191493,LABELS,0.025372,0.243907,0.001661,0.27094,0.672469,0.762145,0.673839,2.108453,0
b.ONp1081,5000,49582,19.8328,5000,0,4172,14285,2.857,0.8344,3.888736,0.000052,0.107008,0.181011,LABELS,0.028571,0.222185,0.004695,0.255451,0.641701,0.74318,0.636236,2.021117,0
b.ONp1082,5000,50458,20.1832,5000,0,4269,15916,3.1832,0.8538,3.86888,0.000052,0.114584,0.196559,LABELS,0.025561,0.27092,0.001622,0.298103,0.670694,0.789495,0.637243,2.097432,0
b-avg-40.ONp5021,5000,201182,80.4728,5000,0,5000,214469,42.8938,1,2.789974,0.000072,0.160386,0.164862,LABELS,0.942438,0.978276,0.900572,2.821286,0.970955,0.976533,0.980296,2.927784,0
b-avg-40.ONp5022,5000,200838,80.3352,5000,0,5000,202272,40.4544,1,2.789975,0.000072,0.151717,0.154991,LABELS,0.951656,0.981898,0.928397,2.861951,0.959581,0.975137,0.95833,2.893048,0
b-avg-40.ONp5031,5000,200706,80.2824,5000,0,5000,163236,32.6472,1,2.774321,0.000072,0.12257,0.126174,LABELS,0.881464,0.944699,0.803957,2.63012,0.917887,0.948632,0.917144,2.783663,0
b-avg-40.ONp5032,5000,201362,80.5448,5000,0,5000,169103,33.8206,1,2.773915,0.000072,0.126105,0.129524,LABELS,0.919143,0.963469,0.871203,2.753815,0.952563,0.96455,0.949164,2.866277,0
b-avg-40.ONp5041,5000,200180,80.072,5000,0,5000,139437,27.8874,1,2.766751,0.000072,0.105228,0.108418,LABELS,0.869591,0.930934,0.785578,2.586103,0.866956,0.916929,0.842489,2.626375,0
b-avg-40.ONp5042,5000,200054,80.0216,5000,0,5000,133624,26.7248,1,2.766063,0.000072,0.100925,0.103884,LABELS,0.867449,0.933406,0.789487,2.590342,0.869208,0.91705,0.830442,2.6167,0
b-avg-40.ONp5051,5000,200454,80.1816,5000,0,5000,118571,23.7142,1,2.759326,0.000073,0.089127,0.092231,LABELS,0.830989,0.914838,0.743151,2.488978,0.794363,0.870305,0.740952,2.40562,1
b-avg-40.ONp5052,5000,200116,80.0464,5000,0,5000,119806,23.9612,1,2.760528,0.000072,0.090384,0.093497,LABELS,0.803557,0.885401,0.743383,2.43234,0.802768,0.87171,0.76674,2.441218,0
b-avg-40.ONp5061,5000,199400,79.76,5000,0,5000,104243,20.8486,1,2.756417,0.000073,0.079074,0.08229,LABELS,0.735905,0.834418,0.678881,2.249205,0.694052,0.798238,0.641361,2.13365,1
b-avg-40.ONp5062,5000,199910,79.964,5000,0,5000,105524,21.1048,1,2.756247,0.000073,0.079607,0.082714,LABELS,0.759241,0.857037,0.681811,2.29809,0.694218,0.807935,0.645833,2.147986,1
b-avg-40.ONp5071,5000,199212,79.6848,5000,0,5000,90849,18.1698,1,2.752515,0.000073,0.068859,0.072095,LABELS,0.729432,0.827464,0.657086,2.213982,0.436187,0.611175,0.377791,1.425153,1
b-avg-40.ONp5072,5000,199876,79.9504,5000,0,5000,91917,18.3834,1,2.751141,0.000073,0.069208,0.072505,LABELS,0.664566,0.795032,0.620588,2.080186,0.274417,0.51231,0.254437,1.041164,1
b-avg-40.ONp5081,5000,198662,79.4648,5000,0,5000,79721,15.9442,1,2.749717,0.000073,0.060653,0.063891,LABELS,0.636159,0.768445,0.591685,1.996288,0.310326,0.542443,0.288561,1.14133,1
b-avg-40.ONp5082,5000,198278,79.3112,5000,0,5000,78364,15.6728,1,2.750818,0.000073,0.059746,0.062771,LABELS,0.62642,0.772917,0.588664,1.988001,0.248752,0.504558,0.222218,0.975528,1
s-avg-40.ONp5021,5000,200638,80.2552,5000,0,5000,290990,58.198,1,2.796471,0.000072,0.218764,0.225116,LABELS,0.998928,0.999508,0.995503,2.993938,0.934691,0.9549,0.937261,2.826851,1
s-avg-40.ONp5022,5000,201318,80.5272,5000,0,5000,295211,59.0422,1,2.794963,0.000072,0.220356,0.227545,LABELS,0.999839,0.99995,0.995755,2.995543,0.874745,0.908904,0.869634,2.653283,1
s-avg-40.ONp5031,5000,200198,80.0792,5000,0,5000,218773,43.7546,1,2.782162,0.000072,0.165036,0.171126,LABELS,0.978772,0.987116,0.965374,2.931262,0.692357,0.778047,0.695741,2.166144,1
s-avg-40.ONp5032,5000,200644,80.2576,5000,0,5000,219769,43.9538,1,2.780982,0.000072,0.165121,0.171143,LABELS,0.940433,0.964591,0.932943,2.837967,0.780602,0.842784,0.767157,2.390543,1
s-avg-40.ONp5041,5000,200394,80.1576,5000,0,5000,170077,34.0154,1,2.772106,0.000072,0.127834,0.132969,LABELS,0.907507,0.941474,0.897163,2.746144,0.706359,0.794138,0.704813,2.20531,1
s-avg-40.ONp5042,5000,201286,80.5144,5000,0,5000,173436,34.6872,1,2.771266,0.000072,0.129249,0.13369,LABELS,0.922985,0.948391,0.904545,2.775921,0.841215,0.895415,0.829405,2.566035,1
s-avg-40.ONp5051,5000,198920,79.568,5000,0,5000,137162,27.4324,1,2.768679,0.000072,0.104277,0.109406,LABELS,0.821539,0.884018,0.809897,2.515454,0.645554,0.752444,0.648099,2.046097,1
s-avg-40.ONp5052,5000,198758,79.5032,5000,0,5000,136709,27.3418,1,2.769119,0.000072,0.104126,0.108793,LABELS,0.801287,0.863471,0.792361,2.45712,0.658804,0.761822,0.666105,2.086732,1
s-avg-40.ONp5061,5000,197844,79.1376,5000,0,5000,112801,22.5602,1,2.765549,0.000072,0.086407,0.091308,LABELS,0.732683,0.83066,0.728171,2.291514,0.329012,0.538921,0.330763,1.198696,1
s-avg-40.ONp5062,5000,197784,79.1136,5000,0,5000,112703,22.5406,1,2.76537,0.000072,0.086272,0.091424,LABELS,0.736282,0.828081,0.733591,2.297954,0.391946,0.581726,0.378576,1.352248,1
s-avg-40.ONp5071,5000,196586,78.6344,5000,0,5000,93996,18.7992,1,2.763005,0.000072,0.072602,0.07754,LABELS,0.631413,0.761728,0.643141,2.036281,0.269516,0.516166,0.28321,1.068892,1
s-avg-40.ONp5072,5000,195576,78.2304,5000,0,5000,92889,18.5778,1,2.765421,0.000072,0.072335,0.077851,LABELS,0.664046,0.784415,0.657427,2.105888,0.286136,0.521818,0.299905,1.107859,1
s-avg-40.ONp5081,5000,194722,77.8888,5000,0,5000,79000,15.8,1,2.763112,0.000072,0.06185,0.066808,LABELS,0.565257,0.726,0.583961,1.875218,0.25215,0.503734,0.263763,1.019647,1
s-avg-40.ONp5082,5000,195792,78.3168,5000,0,5000,79504,15.9008,1,2.760509,0.000072,0.061726,0.065948,LABELS,0.574174,0.730484,0.583823,1.88848,0.244404,0.49657,0.261255,1.00223,1
